Platform,Streamer,Average View Count,Unique Chatters,Viewers to Unique Chatters Ratio,Time Spent Collecting
Twitch,summit1g,15707.453608247422,270,58.17575410462008,25m 1s
Twitch,shroud,15935.902027027027,453,35.17859167114134,25m 7s
Twitch,pokelawls,3862.0,184,20.98913043478261,25m 0s
Twitch,russel,712.5661016949152,49,14.542165340712556,25m 4s
Twitch,loltyler1,11959.122448979591,794,15.061867064206034,25m 2s
Twitch,zackrawrr,31697.5,1048,30.24570610687023,25m 2s
Twitch,LVNDmark,5154.648464163823,251,20.5364480643977,25m 3s
Twitch,forsen,7271.864111498257,637,11.415799233121284,25m 29s
Kick,n3on,59624.0,1208,49.35761589403973,25m 21s
Kick,n3on,64232.0,669,96.01195814648729,9m 14s
Kick,jackdoherty,11010.0,558,19.731182795698924,25m 10s
Kick,ac7ionman,7875.0,343,22.959183673469386,25m 26s
Kick,carldo,1179.0,322,3.6614906832298137,24m 3s
Twitch,xqc,23057.439285714285,1598,14.42893572322546,24m 58s
Twitch,hyperrattv,213.36437246963564,38,5.614851907095675,21m 1s
Kick,jackdoherty,11719.0,396,29.593434343434343,23m 24s
